spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,pre_bloom_mean_fished,pre_bloom_mean_no_take,pre_bloom_mean_overall,comparison_mean_fished,comparison_mean_no_take,comparison_mean_overall,change_fished,change_no_take,change_overall
location,Carrickalinga,b20,M1 fish B20 biomass,period,Bloom,3.018730150409271,6.342233604669999,4.478258122386205,1.1091645964952743,7.8905666672033234,3.22835274359154,-63.25724588715235,24.41305633071029,-27.9105255801705
location,Carrickalinga,b20,M1 fish B20 biomass,period_split,Bloom 2026-01,3.018730150409271,6.342233604669999,4.478258122386205,1.1091645964952743,7.8905666672033234,3.22835274359154,-63.25724588715235,24.41305633071029,-27.9105255801705
location,Carrickalinga,b20,M2 fish B20 biomass,period,Bloom,0.03406722135647954,0.1558159970953726,0.08749421070998314,0.02022995616107387,0.011688888535063766,0.01765407862307082,-40.617533935663474,-92.49827440509259,-79.82257513975553
location,Carrickalinga,b20,M2 fish B20 biomass,period_split,Bloom 2026-01,0.03406722135647954,0.1558159970953726,0.08749421070998314,0.02022995616107387,0.011688888535063766,0.01765407862307082,-40.617533935663474,-92.49827440509259,-79.82257513975553
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Arthropoda abundance,period,Bloom,1.009433962264151,1.680722891566265,1.3042328042328042,3.9431818181818183,6.75,4.8203125,290.63296516567544,301.6129032258064,269.58988336714
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Arthropoda abundance,period_split,Bloom 2026-01,1.009433962264151,1.680722891566265,1.3042328042328042,3.9431818181818183,6.75,4.8203125,290.63296516567544,301.6129032258064,269.58988336714
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Chordata abundance,period,Bloom,0.014150943396226415,0.030120481927710843,0.021164021164021163,0,0,0,-100,-100,-100
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Chordata abundance,period_split,Bloom 2026-01,0.014150943396226415,0.030120481927710843,0.021164021164021163,0,0,0,-100,-100,-100
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Cnidaria abundance,period,Bloom,0,0,0,0,0,0,NA,NA,NA
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Cnidaria abundance,period_split,Bloom 2026-01,0,0,0,0,0,0,NA,NA,NA
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period,Bloom,5.615566037735849,5.2379518072289155,5.449735449735449,1.25,0.55,1.03125,-77.74044519109619,-89.49971247843588,-81.07706310679612
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Echinodermata abundance,period_split,Bloom 2026-01,5.615566037735849,5.2379518072289155,5.449735449735449,1.25,0.55,1.03125,-77.74044519109619,-89.49971247843588,-81.07706310679612
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,6.264150943396227,34.99096385542169,18.87962962962963,3.2613636363636362,12.65,6.1953125,-47.93606243154437,-63.84780924507188,-67.18520107896028
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-01,6.264150943396227,34.99096385542169,18.87962962962963,3.2613636363636362,12.65,6.1953125,-47.93606243154437,-63.84780924507188,-67.18520107896028
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,0,0,0,0,0,0,NA,NA,NA
location,Carrickalinga,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-01,0,0,0,0,0,0,NA,NA,NA
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period,Bloom,1.072318780907807,1.5506552931414153,1.2823819053278571,1.04202854322214,1.3957437719595593,1.1525645522025836,-2.8247418794645966,-9.990068190334327,-10.123142925358422
location,Carrickalinga,shannon_diversity,M1 fish Shannon diversity,period_split,Bloom 2026-01,1.072318780907807,1.5506552931414153,1.2823819053278571,1.04202854322214,1.3957437719595593,1.1525645522025836,-2.8247418794645966,-9.990068190334327,-10.123142925358422
location,Carrickalinga,shannon_diversity,M2 fish Shannon diversity,period,Bloom,0.3219535251608163,0.298593846160492,0.3117026021952485,0.08202645558115915,0.04141419498226737,0.06977831349577909,-74.52226822483561,-86.13025837109599,-77.61381746435649
location,Carrickalinga,shannon_diversity,M2 fish Shannon diversity,period_split,Bloom 2026-01,0.3219535251608163,0.298593846160492,0.3117026021952485,0.08202645558115915,0.04141419498226737,0.06977831349577909,-74.52226822483561,-86.13025837109599,-77.61381746435649
location,Carrickalinga,shannon_diversity,M2 invertebrate Shannon diversity,period,Bloom,1.1791033807732303,1.111348455423245,1.1493485722861996,1.1290543956983738,1.2433014803604114,1.1647566096552606,-4.24466470802885,11.87323600381606,1.3405887248298
location,Carrickalinga,shannon_diversity,M2 invertebrate Shannon diversity,period_split,Bloom 2026-01,1.1791033807732303,1.111348455423245,1.1493485722861996,1.1290543956983738,1.2433014803604114,1.1647566096552606,-4.24466470802885,11.87323600381606,1.3405887248298
