"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","family_selection_reason","1","metric_id"
"Pre-bloom",67.66260281701504,10.52437438023457,Inf,49.8828360647667,91.77962163235605,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom",59.75097910539387,23.97531960002148,Inf,27.21428940638743,131.18768051372535,"Aldinga - Aldinga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom",51.250291920679935,9.222487246511704,Inf,36.01825529619293,72.92392150467481,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom",29.233250239843468,6.591218825314825,Inf,18.791296864402856,45.47759134198878,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom",54.39554894921703,26.402909506793385,Inf,21.00878475285498,140.839928643877,"Boston Bay","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom",36.97318639561054,25.097471632641863,Inf,9.774388544938466,139.85698501339516,"Boston Bay","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom",17.7756140282172,2.3248142092405137,Inf,13.756208696166771,22.969443184458168,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom",14.93470482525914,1.9783595765428366,Inf,11.519676913500676,19.36212359881524,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom",47.65637301907385,12.538814885148101,Inf,28.455243251324504,79.81410910017068,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom",92.03079388116058,61.31830134228826,Inf,24.93413934606787,339.6815468480301,"Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom",21.362690946986277,3.3694514131242586,Inf,15.681924481560166,29.101311196407863,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom",21.04865965508082,3.3756243839899467,Inf,15.371462808722097,28.82263573666087,"Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
