site_name,status,n_years_sampled,n_location_years,proportion_years_sampled,total_events,total_transects,2005,2006,2007,2008,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024,2026
2nd Valley Boat Shed,Fished,18,18,1,19,79,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 5 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,1 event / 2 transects,1 event / 4 transects,1 event / 8 transects
Morgans,Fished,11,18,0.6111111111111112,12,48,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects
Nev's Windmills,Fished,11,18,0.6111111111111112,12,48,-,-,1 event / 4 transects,-,-,1 event / 4 transects,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects
Lasseters Reef,Fished,11,18,0.6111111111111112,12,45,-,-,-,1 event / 3 transects,1 event / 4 transects,1 event / 3 transects,-,1 event / 5 transects,-,-,-,1 event / 4 transects,2 events / 6 transects,1 event / 4 transects,1 event / 4 transects,1 event / 2 transects,1 event / 4 transects,1 event / 6 transects
Rapid Head East,Fished,10,18,0.5555555555555556,11,44,-,-,-,-,-,-,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects
Cape Jervis South,Fished,4,18,0.2222222222222222,4,16,-,-,-,-,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,-,-,-,-,1 event / 4 transects
Rapid Head,No-take,15,18,0.8333333333333334,16,68,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 5 transects,1 event / 3 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 8 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects
Rapid Head SZ,No-take,10,18,0.5555555555555556,11,44,-,-,-,-,-,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects
Rapid Head SZ Site2,No-take,10,18,0.5555555555555556,10,40,-,-,-,-,-,-,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,-,1 event / 4 transects,1 event / 4 transects
Rapid Head South,No-take,9,18,0.5,10,42,1 event / 4 transects,-,-,-,-,-,-,-,1 event / 8 transects,1 event / 4 transects,1 event / 4 transects,1 event / 4 transects,2 events / 8 transects,1 event / 4 transects,1 event / 4 transects,-,-,1 event / 2 transects
